id,url,resolution
7152074497275809026,https://v16-webapp.tiktok.com/701ef04f8f814f9f14155d620c072b99/63b55a4e/video/tos/alisg/tos-alisg-pve-0037/e1a7b0ce3e9c4da1823b01f6134aba64/?a=1988&ch=0&cr=0&dr=0&lr=tiktok&cd=0%7C0%7C1%7C0&cv=1&br=3868&bt=1934&cs=0&ds=3&ft=4b~OyMwF8Zmo0QU6f64jVEHUPpWrKsdm&mime_type=video_mp4&qs=0&rc=NThlOTc0NzppaTQ7ODw0O0BpMzxpbGQ6ZnNuZzMzODgzNEBiYmA0Xy9hNV8xYzIuNGFiYSNzYWMxcjRfXy1gLS1kLy1zcw%3D%3D&l=20230104045151E2EA209A4781A20D9F30&btag=80000,720p
7150557724969831681,https://v16-webapp.tiktok.com/8410159644716691cc9c578720bf7345/63b55a56/video/tos/alisg/tos-alisg-pve-0037/05e1e16b77384cb68d2fa1cd02ce5a90/?a=1988&ch=0&cr=0&dr=0&lr=tiktok&cd=0%7C0%7C1%7C0&cv=1&br=1398&bt=699&cs=0&ds=3&ft=4b~OyMwF8Zmo0QU6f64jVEHUPpWrKsdm&mime_type=video_mp4&qs=0&rc=ZTVlaWZkNGU2NWRmOzRnaUBpanRzNTo6Zjx4ZjMzODgzNEBiNF9hYC41Ni0xLWMwNGNhYSNlLzFycjRfMXFgLS1kLy1zcw%3D%3D&l=20230104045151E2EA209A4781A20D9F30&btag=80000,720p
7150995928504077569,https://v16-webapp.tiktok.com/dd10f0ffaa46a844c9cb536d9dbb5d6f/63b55a52/video/tos/alisg/tos-alisg-pve-0037/94cb3126c5cc4a29b55422fac3651879/?a=1988&ch=0&cr=0&dr=0&lr=tiktok&cd=0%7C0%7C1%7C0&cv=1&br=2602&bt=1301&cs=0&ds=3&ft=4b~OyMwF8Zmo0QU6f64jVEHUPpWrKsdm&mime_type=video_mp4&qs=0&rc=OGY3aTtpZzU3ZDxkZjZlOEBpanVocmc6ZnRxZjMzODgzNEA1YzQvMWIxXjQxYzY1MTVjYSNraS8ucjRfLnJgLS1kLy1zcw%3D%3D&l=20230104045151E2EA209A4781A20D9F30&btag=80000,720p
7151739341897846018,https://v16-webapp.tiktok.com/b6728bf3f95341fdd881ea612c5e44ab/63b55a76/video/tos/alisg/tos-alisg-pve-0037/a4f8fddc7e28454db0a226ee24a00603/?a=1988&ch=0&cr=0&dr=0&lr=tiktok&cd=0%7C0%7C1%7C0&cv=1&br=2162&bt=1081&cs=0&ds=3&ft=4b~OyMwF8Zmo0QU6f64jVEHUPpWrKsdm&mime_type=video_mp4&qs=0&rc=ZmU3ZGk7NTM3ODVnO2ZpZkBpM20zZWY6Zm80ZzMzODgzNEAwNWE1MDEwNTIxYi0vYi5iYSM0NmBucjRfNi1gLS1kLy1zcw%3D%3D&l=20230104045151E2EA209A4781A20D9F30&btag=80000,720p
7152097344526290178,https://v16-webapp.tiktok.com/03dee5966fbc3a1fdb0519957f1ea60a/63b55a58/video/tos/alisg/tos-alisg-pve-0037/b0a8d48ce75041c494eb4cf7273828dc/?a=1988&ch=0&cr=0&dr=0&lr=tiktok&cd=0%7C0%7C1%7C0&cv=1&br=3394&bt=1697&cs=0&ds=3&ft=4b~OyMwF8Zmo0QU6f64jVEHUPpWrKsdm&mime_type=video_mp4&qs=0&rc=ZTRlM2k5OGQ5ZDQ0ZGZkNEBpMzw8bTM6ZjpvZzMzODgzNEAzNjVfNF9hXjExMDRgMS9iYSNtYy8xcjRfaS1gLS1kLy1zcw%3D%3D&l=20230104045151E2EA209A4781A20D9F30&btag=80000,720p
7151324929760218369,https://v16-webapp.tiktok.com/4931215c9bd62370e64a7c1edb62cf8e/63b55a5d/video/tos/alisg/tos-alisg-pve-0037/8d3d6fc0d55b4c3eb1d654f7d347a865/?a=1988&ch=0&cr=0&dr=0&lr=tiktok&cd=0%7C0%7C1%7C0&cv=1&br=2410&bt=1205&cs=0&ds=3&ft=4b~OyMwF8Zmo0QU6f64jVEHUPpWrKsdm&mime_type=video_mp4&qs=0&rc=PGc1aWg1OWY4ZTQ4ZmY2OkBpamp1bTM6ZnI8ZjMzODgzNEBhMTQuMi0tNS8xLTZfLjU0YSMzYS0xcjQwZnNgLS1kLy1zcw%3D%3D&l=20230104045151E2EA209A4781A20D9F30&btag=80000,720p
7151300566956690690,https://v16-webapp.tiktok.com/1e73d9dd4820ecb7640dfb340ffcaa0a/63b55a84/video/tos/alisg/tos-alisg-pve-0037/2ecb22ccb9f141ea9eb693d3a8516fb4/?a=1988&ch=0&cr=0&dr=0&lr=tiktok&cd=0%7C0%7C1%7C0&cv=1&br=3500&bt=1750&cs=0&ds=3&ft=4b~OyMwF8Zmo0QU6f64jVEHUPpWrKsdm&mime_type=video_mp4&qs=0&rc=aDkzODY3MzxoNTpmOTQ6ZUBpajo0bWc6Zms7ZjMzODgzNEAzNWEtYDFhNmAxMWNeMzM2YSMvazQtcjRnX3NgLS1kLy1zcw%3D%3D&l=20230104045151E2EA209A4781A20D9F30&btag=80000,720p
7151707446040464641,https://v16-webapp.tiktok.com/d1ace5467044b85be64186ab1cf09486/63b55a58/video/tos/alisg/tos-alisg-pve-0037/8914e39785fb4ece8e18d7b4dae63359/?a=1988&ch=0&cr=0&dr=0&lr=tiktok&cd=0%7C0%7C1%7C0&cv=1&br=3226&bt=1613&cs=0&ds=3&ft=4b~OyMwF8Zmo0QU6f64jVEHUPpWrKsdm&mime_type=video_mp4&qs=0&rc=NTQ8Njg6ZmU3ZGZnOWloPEBpajYzc2Y6Zjd5ZjMzODgzNEBjYWFiLTNgXjUxXzJfX2AxYSM2MG0tcjQwZHNgLS1kLy1zcw%3D%3D&l=20230104045151E2EA209A4781A20D9F30&btag=80000,720p
7151676050597104898,https://v16-webapp.tiktok.com/a739a02d6b9e8ee14ae3ba8296ebcddd/63b55a69/video/tos/alisg/tos-alisg-pve-0037/6d069ae5393b42fca7a796dd52340910/?a=1988&ch=0&cr=0&dr=0&lr=tiktok&cd=0%7C0%7C1%7C0&cv=1&br=2444&bt=1222&cs=0&ds=3&ft=4b~OyMwF8Zmo0QU6f64jVEHUPpWrKsdm&mime_type=video_mp4&qs=0&rc=OzRnZWdpOGk1aGhoO2Q5OEBpM2d5PDc6Znl3ZjMzODgzNEBiMTRjYGIvXy8xYmBjLjJhYSM0cWIwcjRfanNgLS1kLy1zcw%3D%3D&l=20230104045151E2EA209A4781A20D9F30&btag=80000,720p
7151192006264474882,https://v16-webapp.tiktok.com/449e11eabbda4219d4b5ec759b6418fc/63b55a59/video/tos/alisg/tos-alisg-pve-0037/6f8524414e8747d0a22d2a6b446907d3/?a=1988&ch=0&cr=0&dr=0&lr=tiktok&cd=0%7C0%7C1%7C0&cv=1&br=2654&bt=1327&cs=0&ds=3&ft=4b~OyMwF8Zmo0QU6f64jVEHUPpWrKsdm&mime_type=video_mp4&qs=0&rc=NmVoZDwzaWU1ZzxlaDc6ZkBpanNnOjc6ZnI1ZjMzODgzNEAxMV8vLjBfXjUxYzNfMzQyYSNhY2Q0cjQwM3NgLS1kLy1zcw%3D%3D&l=20230104045151E2EA209A4781A20D9F30&btag=80000,720p
